"","STATE.ABBREVIATION","candidate.last","year","X","X1","STATE","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","woman"
"119","AL","Johnson",2014,431,44,"Alabama","07","H4AL07096","","Tamara Harris","Johnson, Tamara Harris",NA,"D","14,374","16.09%","","","","",1
"120","AL","LeFlore",2014,2381,3,"Alabama","01","H4AL01156","","Burton R.","LeFlore, Burton R.",NA,"D","Unopposed","","","","48,278","31.71%",0
"121","AL","Lester",2014,37100,38,"Alabama","06","H4AL06148","","Mark","Lester, Mark #",NA,"D","#","","","","42,291","23.70%",0
"122","AL","Love",2008,9,10,"Alabama","02","H8AL02080","","Jay","Love, Jay",NA,"R","20,131","35.48%","24,725","53.11%","142,578","49.61%",0
"123","AL","Maker",2008,29,30,"Alabama","05","H8AL05117","","David","Maker, David",NA,"D","3,874","10.08%","","","","",0
"124","AL","Maker",2010,339,34,"Alabama","05","H8AL05117","","David J.","Maker, David J.",NA,"D","1,751","3.88%","","","","",0
"125","AL","Mancuso",2008,33,34,"Alabama","05","H8AL05166","","Angelo ""Doc""","Mancuso, Angelo ""Doc""",NA,"R","6,161","16.24%","","","","",0
"126","AL","Martin",2008,14,15,"Alabama","02","H8AL02098","","John W.","Martin, John W.",NA,"R","824","1.45%","","","","",0
"127","AL","Mathis",2014,32100,33,"Alabama","06","H4AL06072","","Chad","Mathis, Chad",NA,"R","14,420","15.25%","","","","",0
"128","AL","McKee",2008,34,35,"Alabama","05","H8AL05091","","Ray","McKee, Ray",NA,"R","3,342","8.81%","","","","",0
"129","AL","McKinney",2010,119,12,"Alabama","02","H0AL02129","","John Beau, III","McKinney, John Beau, III",NA,"R","3,349","4.48%","","","","",0
"130","AL","Mickle",2012,37,38,"Alabama","06","H2AL06134","","Al","Mickle, Al",NA,"R","2,930","2.84%","","","","",0
"131","AL","Moser",2010,6110,62,"Alabama","S","S0AL00180","","N.C. ""Clint""","Moser, N.C. ""Clint""",NA,"R","75,190","15.65%","","","","",0
"132","AL","Neighbors",2012,22100,23,"Alabama","04","H2AL04063","","Rick","Neighbors, Rick",NA,"D","10,353","48.55%","","","","",0
"133","AL","Norris",2012,48100,49,"Alabama","07","H2AL07165","","Phillip","Norris, Phillip",NA,"R","5,918","33.90%","","","","",0
"134","AL","Palmer",2014,29100,30,"Alabama","06","H4AL06098","","Gary","Palmer, Gary",NA,"R","18,655","19.73%","47,525","63.49%","135,945","76.18%",0
"135","AL","Parker",2008,31,32,"Alabama","05","H4AL05025","","Wayne","Parker, Wayne",NA,"R","18,515","48.80%","16,031","78.73%","147,314","47.94%",0
"136","AL","Phillip",2010,2822,29,"Alabama","05","H0AL05155","","Les","Phillip, Les",NA,"R","11,085","15.76%","","","","",0
"137","AL","Raby",2010,30,31,"Alabama","05","H0AL05197","","Steve","Raby, Steve",NA,"D","27,814","61.67%","","","95,192","42.03%",0
"138","AL","Riehm",2012,426,5,"Alabama","01","H2AL01184","","Pete","Riehm, Pete",NA,"R","13,809","15.75%","","","","",0
"139","AL","Roby",2010,8,9,"Alabama","02","H0AL02087","","Martha","Roby, Martha",NA,"R","36,295","48.55%","39,169","60.02%","111,645","50.97%",1
"140","AL","Roby",2012,10100,11,"Alabama","02","H0AL02087","(I)","Martha","Roby, Martha",NA,"R","Unopposed","","","","180,591","63.60%",1
"141","AL","Roby",2014,66,7,"Alabama","02","H0AL02087","(I)","Martha","Roby, Martha",NA,"R","Unopposed","","","","113,103","67.34%",1
"142","AL","Rogers",2008,18,19,"Alabama","03","H2AL03032","(I)","Mike","Rogers, Mike",NA,"R","Unopposed","","","","142,708","54.03%",0
"143","AL","Rogers",2010,17,18,"Alabama","03","H2AL03032","(I)","Mike","Rogers, Mike",NA,"R","Unopposed","","","","117,736","59.42%",0
"144","AL","Rogers",2012,15,16,"Alabama","03","H2AL03032","(I)","Mike","Rogers, Mike",NA,"R","Unopposed","","","","175,306","64.00%",0
"145","AL","Rogers",2014,1155,12,"Alabama","03","H2AL03032","(I)","Mike","Rogers, Mike",NA,"R","50,372","75.89%","","","103,558","66.12%",0
"146","AL","Sabel",2008,7,8,"Alabama","02","H8AL02148","","Cheryl","Sabel, Cheryl",NA,"D","4,631","15.86%","","","","",1
"147","AL","Salter",2010,50100,51,"Alabama","07","H0AL07185","","Chris","Salter, Chris",NA,"R","4,826","29.42%","9,349","44.24%","","",0
"148","AL","Schmidtke",2008,11,12,"Alabama","02","H8AL02122","","Craig D.","Schmidtke, Craig D.",NA,"R","11,350","20.01%","","","","",0
"149","AL","Segall",2008,19,20,"Alabama","03","H8AL03047","","Joshua","Segall, Joshua",NA,"D","Unopposed","","","","121,080","45.84%",0
"150","AL","Segrest",2010,183,19,"Alabama","03","H0AL03184","","Steve","Segrest, Steve",NA,"D","Unopposed","","","","80,204","40.48%",0
"151","AL","Sessions",2008,47,48,"Alabama","S","S6AL00195","(I)","Jeff","Sessions, Jeff",NA,"R","199,690","92.27%","","","1,305,383","63.36%",0
"152","AL","Sessions",2014,4121,2,"Alabama","S","S6AL00195","(I)","Jeff","Sessions, Jeff",NA,"R","Unopposed","","","","795,606","97.25%",0
"153","AL","Sewell",2010,44,45,"Alabama","07","H0AL07086","","Terri A.","Sewell, Terri A.",NA,"D","31,531","36.80%","32,366","55.00%","136,696","72.43%",1
"154","AL","Sewell",2012,4623,47,"Alabama","07","H0AL07086","(I)","Terri A.","Sewell, Terri A.",NA,"D","Unopposed","","","","232,520","75.85%",1
"155","AL","Sewell",2014,42,43,"Alabama","07","H0AL07086","(I)","Terri A.","Sewell, Terri A.",NA,"D","74,953","83.91%","","","133,687","98.37%",1
"156","AL","Shattuck",2014,3572,36,"Alabama","06","H4AL06122","","Robert","Shattuck, Robert",NA,"R","587","0.62%","","","","",0
"157","AL","Shelby",2010,6026,61,"Alabama","S","S6AL00013","(I)","Richard C.","Shelby, Richard C.",NA,"R","405,398","84.35%","","","968,181","65.18%",0
"158","AL","Shepard",2010,3144,32,"Alabama","05","H0AL05189","","Taze","Shepard, Taze",NA,"D","10,262","22.75%","","","","",0
"159","AL","Smith",2008,10,11,"Alabama","02","H8AL02106","","Harri Anne","Smith, Harri Anne",NA,"R","12,349","21.77%","21,827","46.89%","","",1
"160","AL","Smith",2014,141,15,"Alabama","03","H4AL03061","","Jesse T.","Smith, Jesse T.",NA,"D","Unopposed","","","","52,816","33.72%",0
"161","AL","Smoot",2010,45,46,"Alabama","07","H0AL07102","","Shelia","Smoot, Shelia",NA,"D","24,490","28.59%","26,481","45.00%","","",1
"162","AL","Sparks",2008,23,24,"Alabama","04","H8AL04052","","Nicholas B.","Sparks, Nicholas B.",NA,"D","15,777","58.09%","","","66,077","25.11%",0
"163","AL","Standridge",2012,3617,37,"Alabama","06","H2AL06100","","David","Standridge, David",NA,"R","8,120","7.87%","","","","",0
"164","AL","Swanson",2008,51,52,"Alabama","S","S0AL00149","","Johnny, III","Swanson, Johnny, III",NA,"D","38,757","22.03%","","","","",0
"165","AL","Townsend",2008,52,53,"Alabama","S","S8AL00290","","Mark ""No NCAA""","Townsend, Mark ""No NCAA""",NA,"D","25,058","14.25%","","","","",0
"166","AL","Vigneulle",2014,3453,35,"Alabama","06","H4AL06114","","Tom","Vigneulle, Tom",NA,"R","2,397","2.54%","","","","",0
"167","AL","Vise",2014,38100,39,"Alabama","06","H4AL06130","","Avery","Vise, Avery #",NA,"D","Unopposed","","","","","",0
"168","AL","Waller",2010,519,52,"Alabama","07","H0AL07144","","Michele","Waller, Michele",NA,"R","2,804","17.09%","","","","",1
"169","AL","Walter",2010,4,5,"Alabama","01","H0AL01048","","David","Walter, David",NA,"CPA","","","","","26,357","16.87%",0
"170","AL","Warren",2008,24,25,"Alabama","04","H8AL04045","","Greg","Warren, Greg",NA,"D","11,381","41.91%","","","","",0
"171","AL","Woods",2008,12,13,"Alabama","02","H4AL02048","","David","Woods, David",NA,"R","9,757","17.20%","","","","",0
"172","AL","Wright",2014,790,8,"Alabama","02","H4AL02071","","Erick","Wright, Erick",NA,"D","Unopposed","","","","54,692","32.56%",0
"173","AL","Young",2012,387,4,"Alabama","01","H2AL01176","","Dean","Young, Dean",NA,"R","21,308","24.30%","","","","",0
"174","AR","Adams",2010,28610,287,"Arkansas","02","H0AR02149","","John","Adams, John",NA,"D","5,021","6.56%","","","","",0
"175","AR","Aden",2012,2186,219,"Arkansas","03","H2AR03242","","Ken","Aden, Ken",NA,"D","Unopposed","","","","","",0
"176","AR","Adler",2010,27410,275,"Arkansas","01","H0AR01182","","Ken","Adler, Ken",NA,"GRE","","","","","8,320","4.62%",0
"177","AR","Alexander",2010,32110,322,"Arkansas","S","S0AR00143","","Randy","Alexander, Randy",NA,"R","4,389","3.09%","","","","",0
"178","AR","Baker",2010,317,318,"Arkansas","S","S0AR00077","","Gilbert","Baker, Gilbert",NA,"R","16,540","11.63%","","","","",0
"179","AR","Berry",2008,172,173,"Arkansas","01","H6AR01072","(I)","Marion","Berry, Marion",NA,"D","Unopposed","","","","Unopposed","",0
