"","X1","STATE","STATE.ABBREVIATION","DISTRICT","FEC.ID.","incumbent","candidate.first","candidate.last","candidate.name","TOTAL.VOTES","PARTY","PRIMARY","primary.perc","RUNOFF","runoff.perc","GENERAL","GE.perc","COMBINED.GE.PARTY.TOTALS..CT..NY..SC.","COMBINED....CT..NY..SC.","FOOTNOTES","X","X.1","X.2","year"
"203",204,"Arizona","AZ","06","H0AZ01184","(I)","Jeff","Flake","Flake, Jeff","","R","62,285","64.60%","","","165,649","66.42%","","","","",NA,NA,"2010"
"204",205,"Arizona","AZ","06","H0AZ05094","","Jeff","Smith","Smith, Jeff","","R","34,137","35.40%","","","","","","","","",NA,NA,"2010"
"206",207,"Arizona","AZ","06","H8AZ06053","","Rebecca","Schneider","Schneider, Rebecca","","D","26,220","100.00%","","","72,615","29.12%","","","","",NA,NA,"2010"
"208",209,"Arizona","AZ","06","H0AZ06050","","Darell","Tapp","Tapp, Darell","","W(LIB)/LIB","28","100.00%","","","7,712","3.09%","","","","",NA,NA,"2010"
"210",211,"Arizona","AZ","06","H8AZ06012","","Richard","Grayson","Grayson, Richard","","W(GRE)/GRE","6","100.00%","","","3,407","1.37%","","","","",NA,NA,"2010"
"214",215,"Arizona","AZ","07","H2AZ07070","(I)","Raúl M.","Grijalva","Grijalva, Raúl M.","","D","33,931","100.00%","","","79,935","50.23%","","","","",NA,NA,"2010"
"216",217,"Arizona","AZ","07","H0AZ07017","","Ruth","McClung","McClung, Ruth","","R","15,455","50.95%","","","70,385","44.23%","","","","",NA,NA,"2010"
"217",218,"Arizona","AZ","07","H0AZ07025","","Terry","Myers","Myers, Terry","","R","7,044","23.22%","","","","","","","","",NA,NA,"2010"
"218",219,"Arizona","AZ","07","H0AZ07041","","Joseph","Sweeney","Sweeney, Joseph","","R","3,702","12.20%","","","","","","","","",NA,NA,"2010"
"219",220,"Arizona","AZ","07","H0AZ07058","","Robert","Wilson","Wilson, Robert","","R","2,737","9.02%","","","","","","","","",NA,NA,"2010"
"220",221,"Arizona","AZ","07","H0AZ07033","","Christopher J.","Flowers","Flowers, Christopher J.","","R","1,394","4.60%","","","","","","","","",NA,NA,"2010"
"222",223,"Arizona","AZ","07","H0AZ07025","","Harley","Myer","Myer, Harley","","IND","","","","","4,506","2.83%","","","","",NA,NA,"2010"
"223",224,"Arizona","AZ","07","H0AZ07074","","George","Keane","Keane, George","","LIB","159","56.79%","","","4,318","2.71%","","","","",NA,NA,"2010"
"224",225,"Arizona","AZ","07","H0AZ07066","","Andrew","Ibarra","Ibarra, Andrew","","LIB","121","43.21%","","","","","","","","",NA,NA,"2010"
"228",229,"Arizona","AZ","08","H6AZ08038","(I)","Gabrielle","Giffords","Giffords, Gabrielle","","D","55,530","100.00%","","","138,280","48.76%","","","","",NA,NA,"2010"
"230",231,"Arizona","AZ","08","H0AZ08015","","Jesse","Kelly","Kelly, Jesse","","R","43,097","48.31%","","","134,124","47.30%","","","","",NA,NA,"2010"
"231",232,"Arizona","AZ","08","H0AZ08056","","Jonathan","Paton","Paton, Jonathan","","R","37,066","41.55%","","","","","","","","",NA,NA,"2010"
"232",233,"Arizona","AZ","08","H0AZ08031","","Brian","Miller","Miller, Brian","","R","6,613","7.41%","","","","","","","","",NA,NA,"2010"
"233",234,"Arizona","AZ","08","H6AZ08103","","Jay","Quick","Quick, Jay","","R","1,933","2.17%","","","","","","","","",NA,NA,"2010"
"234",235,"Arizona","AZ","08","H0AZ08023","","Andy","Goss","Goss, Andy","","R","502","0.56%","","","","","","","","",NA,NA,"2010"
"236",237,"Arizona","AZ","08","H0AZ08064","","Steven","Stoltz","Stoltz, Steven","","LIB","482","100.00%","","","11,174","3.94%","","","","",NA,NA,"2010"
"243",244,"Arizona","AZ","S","S6AZ00019","(I)","John","McCain","McCain, John","","R","333,744","56.25%","","","1,005,615","58.86%","","","","",NA,NA,"2010"
"244",245,"Arizona","AZ","S","S0AZ00251","","J.D.","Hayworth","Hayworth, J.D.","","R","190,229","32.06%","","","","","","","","",NA,NA,"2010"
"245",246,"Arizona","AZ","S","S0AZ00194","","Jim","Deakin","Deakin, Jim","","R","69,328","11.69%","","","","","","","","",NA,NA,"2010"
"247",248,"Arizona","AZ","S","S0AZ00269","","Rodney","Glassman","Glassman, Rodney","","D","100,307","34.60%","","","592,011","34.65%","","","","",NA,NA,"2010"
"248",249,"Arizona","AZ","S","S4AZ00055","","Cathy","Eden","Eden, Cathy","","D","76,487","26.39%","","","","","","","","",NA,NA,"2010"
"249",250,"Arizona","AZ","S","S0AZ00293","","John","Dougherty","Dougherty, John","","D","68,589","23.66%","","","","","","","","",NA,NA,"2010"
"250",251,"Arizona","AZ","S","S0AZ00277","","Randy","Parraz","Parraz, Randy","","D","44,435","15.33%","","","","","","","","",NA,NA,"2010"
"251",252,"Arizona","AZ","S","S0AZ00319","","William","Koller","Koller, William","","W(DEM)","48","0.02%","","","","","","","","",NA,NA,"2010"
"253",254,"Arizona","AZ","S","S0AZ00301","","David F.","Nolan","Nolan, David F.","","LIB","2,669","100.00%","","","80,097","4.69%","","","","",NA,NA,"2010"
"255",256,"Arizona","AZ","S","S0AZ00285","","Jerry","Joslyn","Joslyn, Jerry","","GRE","1,948","100.00%","","","24,603","1.44%","","","","",NA,NA,"2010"
"257",258,"Arizona","AZ","S","S0AZ00244","","Ian ","Gilyeat","Gilyeat, Ian ","","W","","","","","5,938","0.35%","","","","",NA,NA,"2010"
"259",260,"Arizona","AZ","S","S0AZ00327 ","","Santos","Chavez","Chavez, Santos","","W","","","","","39","0.00%","","","","",NA,NA,"2010"
"260",261,"Arizona","AZ","S","S0AZ00335 ","","Sydney ","Dudikoff","Dudikoff, Sydney ","","W","","","","","14","0.00%","","","","",NA,NA,"2010"
"261",262,"Arizona","AZ","S","S6AZ00191","","Ray J. ","Caplette","Caplette, Ray J. ","","W","","","","","7","0.00%","","","","",NA,NA,"2010"
"264",265,"Arkansas","AR","01","H0AR01083","","Rick","Crawford","Crawford, Rick","","R","14,461","71.79%","","","93,224","51.79%","","","","",NA,NA,"2010"
"265",266,"Arkansas","AR","01","H0AR01125","","Princella D.","Smith","Smith, Princella D.","","R","5,682","28.21%","","","","","","","","",NA,NA,"2010"
"267",268,"Arkansas","AR","01","H0AR01109","","Chad","Causey","Causey, Chad","","D","25,854","26.98%","39,402","51.47%","78,267","43.48%","","","","",NA,NA,"2010"
"268",269,"Arkansas","AR","01","H0AR01117","","Tim","Wooldridge","Wooldridge, Tim","","D","36,809","38.41%","37,156","48.53%","","","","","","",NA,NA,"2010"
"269",270,"Arkansas","AR","01","H0AR01133","","David R.","Cook","Cook, David R.","","D","14,158","14.77%","","","","","","","","",NA,NA,"2010"
"270",271,"Arkansas","AR","01","H0AR01141","","Steve","Bryles","Bryles, Steve","","D","9,650","10.07%","","","","","","","","",NA,NA,"2010"
"271",272,"Arkansas","AR","01","H0AR01166","","Terry G.","Green","Green, Terry G.","","D","5,094","5.32%","","","","","","","","",NA,NA,"2010"
"272",273,"Arkansas","AR","01","H0AR01174","","Ben","Ponder","Ponder, Ben","","D","4,270","4.46%","","","","","","","","",NA,NA,"2010"
"274",275,"Arkansas","AR","01","H0AR01182","","Ken","Adler","Adler, Ken","","GRE","","","","","8,320","4.62%","","","","",NA,NA,"2010"
"275",276,"Arkansas","AR","01","H0AR01158","","Mickey","Higgins","Higgins, Mickey","","W","","","","","196","0.11%","","","","",NA,NA,"2010"
"279",280,"Arkansas","AR","02","H0AR02107","","Tim","Griffin","Griffin, Tim","","R","24,610","61.69%","","","122,091","57.90%","","","","",NA,NA,"2010"
"280",281,"Arkansas","AR","02","H0AR02115","","Scott","Wallace","Wallace, Scott","","R","15,285","38.31%","","","","","","","","",NA,NA,"2010"
"282",283,"Arkansas","AR","02","H0AR02131","","Joyce","Elliott","Elliott, Joyce","","D","30,420","39.73%","37,021","53.76%","80,687","38.27%","","","","",NA,NA,"2010"
"283",284,"Arkansas","AR","02","H0AR02123","","Robbie","Wills","Wills, Robbie","","D","21,299","27.82%","31,844","46.24%","","","","","","",NA,NA,"2010"
"284",285,"Arkansas","AR","02","H0AR02156","","David","Boling","Boling, David","","D","14,800","19.33%","","","","","","","","",NA,NA,"2010"
"285",286,"Arkansas","AR","02","H0AR02164","","Patrick","Kennedy","Kennedy, Patrick","","D","5,032","6.57%","","","","","","","","",NA,NA,"2010"
"286",287,"Arkansas","AR","02","H0AR02149","","John","Adams","Adams, John","","D","5,021","6.56%","","","","","","","","",NA,NA,"2010"
"288",289,"Arkansas","AR","02","H0AR02172","","Lance","Levi","Levi, Lance","","IND","","","","","4,421","2.10%","","","","",NA,NA,"2010"
"289",290,"Arkansas","AR","02","H0AR02180","","Lewis","Kennedy","Kennedy, Lewis","","GRE","","","","","3,599","1.71%","","","","",NA,NA,"2010"
