"","Year","Candidate","C10","M01","M10","M20","M30","M40","M50","S10","S20","S50","R10","cluster","X_first_score","X_second_score"
"156",2008,"H4IL03077",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"157",2008,"H4IL07037",0,0,0,0.879227053140097,0.120772946859903,0,0,0,0,0,0,4,0.296461528965179,0.0105619339634911
"158",2008,"H6ID01177",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"159",2008,"H6IL02124",0,0,0,0.879227053140097,0.120772946859903,0,0,0,0,0,0,4,0.296461528965179,0.0105619339634911
"160",2008,"H6IL17155",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"161",2008,"H6PA12030",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"162",2008,"H8AZ08018",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"163",2008,"H8CA04152",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"164",2008,"H8CA11082",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"165",2008,"H8CA50049",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"166",2008,"H8CA52052",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"167",2008,"H8IL09067",0,0,0,0.879227053140097,0.120772946859903,0,0,0,0,0,0,4,0.296461528965179,0.0105619339634911
"168",2008,"H8IL21021",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"169",2008,"H8MI04077",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"170",2008,"H8OH07073",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"171",2008,"H8WY00148",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"172",2008,"P80000333",0,0,0,1,0,0,0,0,0,0,0,4,0.259891312818797,0.111790363099077
"173",2008,"S8MI00158",0,0,0,0.583333333333333,0.416666666666667,0,0,0,0,0,0,4,0.386058558523813,-0.237447717418696
"174",2008,"H0CA15148",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"175",2008,"H0CA27085",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"176",2008,"H0CA31087",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"177",2008,"H0CT03072",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"178",2008,"H0DC00058",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"179",2008,"H0FL18025",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"180",2008,"H0MA04036",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"181",2008,"H0MN04049",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"182",2008,"H0MO00019",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"183",2008,"H0NJ01066",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
"184",2008,"H0NJ10026",0,0,0,0,1,0,0,0,0,0,0,1,0.562692702510835,-0.726381030143576
